Rank,Country,Population,GDP,GroupGDP,GDPAgri,RankAgri,GDPIndus,RankIndus,GDPServ,RankServ,YearGDP,YearSector,Continent,Development,Happiness
1,United States,"335,942,003",19360000,G1,174240,3,3659040,2,15526720,1,2017,2017,America,Developed country,6977
2,China,"1,424,929,781",11940000,G1,991020,1,4716300,1,6232680,2,2017,2017,Asia,Developed country,5585
3,Japan,"125,244,761",4884000,G2,48840,13,1450548,3,3384612,3,2017,2017,Asia,Developed country,6039
4,Germany,"83,328,988",3652000,G2,21912,31,1099252,4,2530836,4,2016,2017,Europe,Developed country,7034
5,France,"64,480,053",2575000,G2,51500,11,517575,7,2005925,6,2017,2017,Europe,Developed country,6687
6,United Kingdom,"67,059,474",2565000,G2,15390,36,487350,8,2062260,5,2017,2017,Europe,Developed country,6943
7,India,"1,396,387,127",2439000,G2,375606,2,560970,6,1499985,8,2017,2016,Asia,Developing country,3777
8,Brazil,"213,196,304",2081000,G2,129022,4,437010,12,1514968,7,2017,2017,America,Developing country,6293
9,Italy,"59,500,579",1921000,G2,40341,17,461040,10,1419619,9,2017,2017,Europe,Developed country,6467
10,Canada,"37,888,705",1640000,G2,27880,25,460840,11,1151280,10,2017,2017,America,Developed country,7025
11,"Korea, South","51,844,690",1530000,G2,33660,22,601290,5,891990,14,2017,2017,Asia,Developed country,5935
12,Russia,"145,617,329",1469000,G2,69043,7,475956,9,915187,13,2017,2017,Europe,Developing country,5459
13,Australia,"25,670,051",1390000,G2,50040,12,362790,14,977170,11,2017,2017,Oceania,Developed country,7162
14,Spain,"47,363,807",1307000,G2,33982,21,303224,16,969794,12,2017,2017,Europe,Developed country,6476
15,Mexico,"125,998,302",1142000,G2,44538,15,360872,15,730880,15,2017,2017,America,Developing country,6128
16,Indonesia,"271,857,970",923300,G3,128339,5,372090,13,423795,19,2016,2017,Asia,Developing country,5240
17,Turkey,"84,135,428",841200,G3,56360,10,267502,18,516497,17,2017,2017,Europe,Developed country,4744
18,Netherlands,"17,434,557",824500,G3,13192,38,147586,27,578799,16,2017,2017,Europe,Developed country,7415
19,Saudi Arabia,"35,997,107",683700,G3,17776,32,302195,17,363728,22,2017,2017,Asia,Developing country,6523
